province,adcode,model,bodyType,regYear,regMonth,salesVolume,date,popularity,newsReplyVolume,carCommentVolume
上海,310000,13,2,2016,1,292,27,1479,11,106
云南,530000,13,2,2016,1,466,27,1594,11,106
内蒙古,150000,13,2,2016,1,257,27,1479,11,106
北京,110000,13,2,2016,1,408,27,2370,11,106
四川,510000,13,2,2016,1,610,27,3562,11,106
安徽,340000,13,2,2016,1,206,27,1314,11,106
山东,370000,13,2,2016,1,503,27,3476,11,106
山西,140000,13,2,2016,1,236,27,1422,11,106
广东,440000,13,2,2016,1,3635,27,7182,11,106
广西,450000,13,2,2016,1,450,27,1163,11,106
江苏,320000,13,2,2016,1,876,27,3670,11,106
江西,360000,13,2,2016,1,253,27,926,11,106
河北,130000,13,2,2016,1,306,27,2973,11,106
河南,410000,13,2,2016,1,537,27,3483,11,106
浙江,330000,13,2,2016,1,650,27,3167,11,106
湖北,420000,13,2,2016,1,635,27,2190,11,106
湖南,430000,13,2,2016,1,525,27,1666,11,106
福建,350000,13,2,2016,1,462,27,1357,11,106
辽宁,210000,13,2,2016,1,791,27,2808,11,106
重庆,500000,13,2,2016,1,195,27,682,11,106
陕西,610000,13,2,2016,1,298,27,1558,11,106
黑龙江,230000,13,2,2016,1,309,27,2118,11,106
上海,310000,14,3,2016,1,389,27,1519,43,3996
云南,530000,14,3,2016,1,306,27,1161,43,3996
内蒙古,150000,14,3,2016,1,260,27,1340,43,3996
北京,110000,14,3,2016,1,449,27,2388,43,3996
四川,510000,14,3,2016,1,757,27,3757,43,3996
安徽,340000,14,3,2016,1,275,27,1378,43,3996
山东,370000,14,3,2016,1,890,27,3643,43,3996
山西,140000,14,3,2016,1,387,27,1425,43,3996
广东,440000,14,3,2016,1,8330,27,9439,43,3996
广西,450000,14,3,2016,1,801,27,1491,43,3996
江苏,320000,14,3,2016,1,1685,27,4436,43,3996
江西,360000,14,3,2016,1,393,27,1170,43,3996
河北,130000,14,3,2016,1,788,27,3275,43,3996
河南,410000,14,3,2016,1,850,27,3728,43,3996
浙江,330000,14,3,2016,1,1438,27,4077,43,3996
湖北,420000,14,3,2016,1,762,27,2086,43,3996
湖南,430000,14,3,2016,1,678,27,1887,43,3996
福建,350000,14,3,2016,1,1115,27,1812,43,3996
辽宁,210000,14,3,2016,1,1304,27,3398,43,3996
重庆,500000,14,3,2016,1,188,27,679,43,3996
陕西,610000,14,3,2016,1,240,27,1444,43,3996
黑龙江,230000,14,3,2016,1,467,27,2274,43,3996
上海,310000,10,2,2016,1,232,27,822,59,698
云南,530000,10,2,2016,1,297,27,1017,59,698
内蒙古,150000,10,2,2016,1,259,27,932,59,698
北京,110000,10,2,2016,1,805,27,1337,59,698
四川,510000,10,2,2016,1,423,27,2167,59,698
安徽,340000,10,2,2016,1,138,27,851,59,698
山东,370000,10,2,2016,1,337,27,2019,59,698
山西,140000,10,2,2016,1,166,27,712,59,698
广东,440000,10,2,2016,1,1775,27,3140,59,698
广西,450000,10,2,2016,1,207,27,527,59,698
江苏,320000,10,2,2016,1,463,27,1790,59,698
江西,360000,10,2,2016,1,97,27,467,59,698
河北,130000,10,2,2016,1,326,27,1780,59,698
河南,410000,10,2,2016,1,271,27,1890,59,698
浙江,330000,10,2,2016,1,381,27,1695,59,698
湖北,420000,10,2,2016,1,226,27,1030,59,698
湖南,430000,10,2,2016,1,259,27,866,59,698
福建,350000,10,2,2016,1,137,27,537,59,698
辽宁,210000,10,2,2016,1,543,27,1281,59,698
重庆,500000,10,2,2016,1,172,27,458,59,698
陕西,610000,10,2,2016,1,248,27,838,59,698
黑龙江,230000,10,2,2016,1,362,27,1158,59,698
上海,310000,36,3,2016,1,243,27,669,219,117
云南,530000,36,3,2016,1,238,27,465,219,117
内蒙古,150000,36,3,2016,1,190,27,552,219,117
北京,110000,36,3,2016,1,335,27,1026,219,117
四川,510000,36,3,2016,1,528,27,1753,219,117
安徽,340000,36,3,2016,1,308,27,735,219,117
山东,370000,36,3,2016,1,424,27,1635,219,117
山西,140000,36,3,2016,1,182,27,578,219,117
广东,440000,36,3,2016,1,4260,27,4350,219,117
广西,450000,36,3,2016,1,414,27,617,219,117
江苏,320000,36,3,2016,1,902,27,2035,219,117
江西,360000,36,3,2016,1,248,27,491,219,117
河北,130000,36,3,2016,1,409,27,1540,219,117
河南,410000,36,3,2016,1,455,27,1535,219,117
浙江,330000,36,3,2016,1,1040,27,2053,219,117
湖北,420000,36,3,2016,1,675,27,1022,219,117
湖南,430000,36,3,2016,1,547,27,870,219,117
福建,350000,36,3,2016,1,464,27,717,219,117
辽宁,210000,36,3,2016,1,649,27,1261,219,117
重庆,500000,36,3,2016,1,187,27,352,219,117
陕西,610000,36,3,2016,1,259,27,648,219,117
黑龙江,230000,36,3,2016,1,291,27,944,219,117
上海,310000,6,1,2016,1,365,27,3369,0,0
云南,530000,6,1,2016,1,4147,27,6548,0,0
内蒙古,150000,6,1,2016,1,567,27,2074,0,0
北京,110000,6,1,2016,1,456,27,4987,0,0
四川,510000,6,1,2016,1,1772,27,8433,0,0
安徽,340000,6,1,2016,1,2289,27,4473,0,0
山东,370000,6,1,2016,1,5481,27,11802,0,0
山西,140000,6,1,2016,1,2166,27,5520,0,0
广东,440000,6,1,2016,1,2118,27,14106,0,0
广西,450000,6,1,2016,1,4779,27,5444,0,0
江苏,320000,6,1,2016,1,2358,27,9156,0,0
江西,360000,6,1,2016,1,1882,27,3102,0,0
河北,130000,6,1,2016,1,4112,27,10812,0,0
河南,410000,6,1,2016,1,7051,27,19036,0,0
浙江,330000,6,1,2016,1,1411,27,7690,0,0
湖北,420000,6,1,2016,1,1923,27,4759,0,0
湖南,430000,6,1,2016,1,2637,27,5196,0,0
福建,350000,6,1,2016,1,670,27,2703,0,0
辽宁,210000,6,1,2016,1,1203,27,3388,0,0
重庆,500000,6,1,2016,1,370,27,1541,0,0
陕西,610000,6,1,2016,1,2683,27,5882,0,0
黑龙江,230000,6,1,2016,1,721,27,2569,0,0
上海,310000,9,2,2016,1,431,27,1320,29,3278
云南,530000,9,2,2016,1,248,27,755,29,3278
内蒙古,150000,9,2,2016,1,939,27,1243,29,3278
北京,110000,9,2,2016,1,458,27,1904,29,3278
四川,510000,9,2,2016,1,1221,27,3683,29,3278
安徽,340000,9,2,2016,1,1440,27,1999,29,3278
山东,370000,9,2,2016,1,1657,27,4276,29,3278
山西,140000,9,2,2016,1,639,27,1454,29,3278
广东,440000,9,2,2016,1,6442,27,9568,29,3278
广西,450000,9,2,2016,1,719,27,1119,29,3278
江苏,320000,9,2,2016,1,2063,27,4257,29,3278
江西,360000,9,2,2016,1,1070,27,1387,29,3278
河北,130000,9,2,2016,1,1775,27,4276,29,3278
河南,410000,9,2,2016,1,2481,27,5788,29,3278
浙江,330000,9,2,2016,1,1156,27,2659,29,3278
湖北,420000,9,2,2016,1,1769,27,2506,29,3278
湖南,430000,9,2,2016,1,1843,27,2392,29,3278
